,id,pre_pt_root_id,post_pt_root_id,size,ctr_pt_x,ctr_pt_y,ctr_pt_z,synapse_id,cell_type_pre
3315,260997854,864691136905786734,864691135490583527,3172,949.644,596.1080000000001,728.36,-260997854,Unknown
3316,236042991,864691136690534006,864691135490583527,1784,891.84,541.984,774.2,-236042991,Unknown
3317,226627327,864691132442167762,864691135490583527,2524,869.392,541.816,653.08,-226627327,Unknown
3318,244409211,864691135888665737,864691135490583527,292,898.448,579.968,666.6800000000001,-244409211,Unknown
3319,244807166,864691134792105124,864691135490583527,8460,908.328,583.5840000000001,746.24,-244807166,Unknown
3320,244760787,864691135317327560,864691135490583527,3824,903.392,597.976,701.12,-244760787,Unknown
3321,215752085,864691135278365671,864691135490583527,50356,845.5120000000001,483.28,726.76,-215752085,Unknown
3322,236098593,864691133534756953,864691135490583527,5020,888.376,548.008,762.0,-236098593,Unknown
3323,209866592,864691135520159428,864691135490583527,4252,822.216,608.904,726.64,-209866592,Unknown
3324,237949677,864691135989066888,864691135490583527,27004,884.488,569.76,683.48,-237949677,Unknown
3325,231392261,864691136284194066,864691135490583527,1664,874.232,596.304,735.72,-231392261,Unknown
3326,254170547,864691133597987882,864691135490583527,3188,941.904,562.832,729.44,-254170547,Unknown
3327,237361978,864691135608875204,864691135490583527,9272,892.464,582.52,736.36,-237361978,Unknown
3328,229178219,864691135352915186,864691135490583527,2752,881.1800000000001,560.368,715.88,-229178219,Unknown
3329,243789933,864691135587089394,864691135490583527,1316,912.416,633.352,752.64,-243789933,Unknown
3330,240909875,864691135272921428,864691135490583527,1292,909.68,616.544,682.28,-240909875,Unknown
3331,209003077,864691135713320449,864691135490583527,12164,818.984,610.416,687.72,-209003077,Unknown
3332,260686812,864691135608208580,864691135490583527,2308,959.248,506.8,726.6,-260686812,Unknown
3333,253876183,864691135993390270,864691135490583527,2988,935.184,553.896,686.16,-253876183,Unknown
3334,216217890,864691135934455732,864691135490583527,2068,833.952,568.456,688.32,-216217890,Unknown
3335,236099427,864691134609721346,864691135490583527,1860,891.328,547.696,765.2,-236099427,Unknown
3336,229184313,864691135995756734,864691135490583527,3744,868.492,574.224,713.88,-229184313,Unknown
3337,222388741,864691135175981857,864691135490583527,8176,861.024,545.8,635.92,-222388741,Unknown
3338,219350736,864691136716156014,864691135490583527,7892,855.504,585.74,728.28,-219350736,Unknown
3339,263757553,864691135132673505,864691135490583527,5560,954.344,556.032,728.4,-263757553,Unknown
3340,227647034,864691134654913243,864691135490583527,13664,877.992,388.384,700.12,-227647034,Unknown
