Unnamed: 0,cell_type,pt_root_id,pt_x,pt_y,pt_z
40264,4P,864691136617147099,282624,152096,15411
40265,4P,864691136309707610,282608,152768,15167
40266,23P,864691136272985022,293712,127248,19338
40267,4P,864691136915083630,282560,147904,15244
40268,23P,864691135293079820,294224,130304,19463
40269,23P,864691135581558637,278928,131952,20141
40270,23P,864691135132660128,278816,133056,19815
40271,4P,864691135407513545,288496,141520,18117
40272,4P,864691136521820305,281104,145584,15703
40273,6P-IT,864691135577244165,190336,219184,20518
40275,23P,864691135132936096,279200,129984,19284
40277,23P,864691135334774249,279344,130368,17393
40278,4P,864691135445907602,294032,143104,18473
40279,4P,864691136444112771,290656,140192,18247
40281,23P,864691135474987584,281040,137920,18613
40284,23P,864691135569355654,289424,134336,18076
40285,23P,864691136273634829,279216,135712,20251
40286,23P,864691137196896321,280176,135184,19786
40287,4P,864691135491210847,281328,139312,20020
40288,23P,864691135181764098,281792,140496,19616
40289,23P,864691135162228525,282192,136560,19760
40290,23P,864691135587129330,282400,128656,19990
40291,4P,864691135937408565,282240,142736,19732
40292,4P,864691135565092163,283760,156848,15557
40293,23P,864691135382927851,283808,132592,19757
40294,4P,864691136486806134,283824,145232,15520
40295,4P,864691135875981907,283952,142048,20070
40296,4P,864691135945477156,285696,141280,19827
40297,4P,864691135474621504,285088,151440,15585
40298,23P,864691135345270687,286208,130688,20126
40299,23P,864691135925531918,287584,140464,20085
40300,4P,864691135528391666,288416,152544,15232
40301,4P,864691136023824953,289312,141648,19835
40302,4P,864691135303187111,288832,157840,15239
40303,23P,864691136090943668,291136,135888,19553
40304,23P,864691136099785845,291312,139472,19764
40305,4P,864691135586058994,289392,156944,15476
40306,23P,864691135780814160,292720,135552,20015
40307,4P,864691135662580291,289872,147760,15612
40308,4P,864691135975460163,291152,145456,15621
40309,4P,864691135385238101,292928,138720,20160
40310,4P,864691135941144948,292032,157200,15263
40311,4P,864691135736899716,293680,141952,20014
40312,4P,864691135012496886,293744,140480,20145
40313,4P,864691135583658360,292096,148272,15511
40314,4P,864691135274150373,293664,153712,15384
40315,4P,864691135587753970,294288,158240,15394
40316,4P,864691136008479404,279104,152528,15793
40317,4P,864691135517347722,279072,146512,16161
40318,4P,864691135337756646,280704,155008,16342
40319,4P,864691136903023538,280816,156720,15852
40320,4P,864691135474673728,282048,144992,16102
40321,4P,864691135737498481,282928,155936,15960
40322,4P,864691135644702703,283216,151344,15951
40323,4P,864691136034381448,282992,146672,16457
40324,5P-ET,864691135841083619,283600,153360,15907
40325,4P,864691136618444941,285104,155520,16376
40326,4P,864691135815504207,286160,149248,16170
40327,4P,864691137196897089,287472,145168,15876
40328,4P,864691135508696329,287616,149600,15966
40329,4P,864691135658036803,288640,150192,16275
40330,4P,864691135937407797,288656,155584,16135
40331,4P,864691136065304712,288960,152032,16177
40332,4P,864691135753716685,289728,158672,16143
40333,4P,864691135012526326,291280,144704,16022
40334,4P,864691136540747170,291312,158592,15759
40335,4P,864691136922785508,291248,146000,16235
40336,4P,864691136418614935,291664,154480,15990
40337,4P,864691136020291320,292416,153264,16392
40338,4P,864691135737495153,292352,145456,15910
40339,4P,864691135953791752,293360,152176,16034
40340,4P,864691135875997523,293408,145312,16141
40341,4P,864691135661919043,294320,159536,16064
40342,4P,864691135982666888,278800,147232,17230
40343,4P,864691135918327216,279504,154064,16769
40344,4P,864691135888515465,279504,143792,16630
40345,4P,864691135586563826,281056,158144,16961
40346,4P,864691135739597460,281984,153584,16679
40347,4P,864691136907962478,282144,159200,16798
40348,4P,864691136038191496,282032,154688,16972
40349,4P,864691135307125318,283056,152304,16895
40350,4P,864691134988390266,283376,154960,16759
40351,4P,864691136056335576,283504,149552,16917
40352,4P,864691135865549701,283776,156640,16953
40353,4P,864691136266436852,284208,147616,17135
40354,4P,864691135012446198,285072,144176,16999
40355,4P,864691135454107498,285664,158336,16485
40356,4P,864691135570707181,285744,155424,17167
40357,4P,864691135155570276,286160,146592,17082
40358,4P,864691135997646538,286656,152752,16844
40359,4P,864691135360155463,287360,156336,16583
40360,4P,864691135386410369,288096,152928,17194
40361,4P,864691134940013155,288640,145136,17115
40362,4P,864691136923074532,284800,145680,16160
40363,4P,864691136209406652,288256,149200,16391
40364,4P,864691136109193144,287952,145200,15226
40365,23P,864691135568180716,288496,134432,20063
40366,4P,864691135385695317,281520,149312,17115
40367,23P,864691136175494150,293904,156896,16277
40368,23P,864691136297052443,279712,137952,20093
40369,5P-ET,864691135954128904,285920,152256,15727
40370,4P,864691135683228658,288976,157248,17055
40371,4P,864691135975479107,289200,158416,16572
40372,4P,864691135155519076,290896,153696,17185
40373,4P,864691135994381258,292384,155744,16885
40374,4P,864691135274079461,293776,155568,17097
40375,4P,864691136575514530,293936,145616,17104
40376,4P,864691135960504522,294752,148768,16723
40377,4P,864691136361516770,294688,154032,16985
40378,4P,864691135718455857,279360,147408,17546
40379,4P,864691135753696461,279104,157120,17920
40380,4P,864691135581618541,280832,150224,17886
40381,23P,864691135373755465,281152,145424,17494
40382,4P,864691135865571717,281968,156592,17335
40383,4P,864691135953780744,281984,146256,17367
40384,4P,864691136023768121,282176,145728,17819
40385,4P,864691136645651062,282160,143840,17925
40386,4P,864691135660503536,282912,151216,17465
40387,4P,864691135753697741,283520,153184,17409
40388,4P,864691135736908676,284240,157648,17720
40389,4P,864691135582235378,284928,158032,17972
40391,4P,864691135939329025,285792,152368,17351
40392,4P,864691135660647491,286272,144160,17907
40393,4P,864691136074233992,286656,143408,17332
40394,4P,864691135582068210,286896,150000,17472
40395,4P,864691136965833678,288224,146480,17426
40396,4P,864691135533250802,288480,155504,18019
40397,4P,864691134988393850,289056,151616,17951
40398,4P,864691135099854112,289744,147296,17846
40399,4P,864691136010942883,289968,154496,17610
40400,4P,864691135233140825,290800,157296,17342
40401,4P,864691135864750044,291040,153968,17861
40402,4P,864691135360262727,283312,147568,16009
40403,4P,864691136388605200,292288,150880,17693
40404,4P,864691136575488418,292752,147024,17882
40405,4P,864691135510496464,293264,158832,17684
40406,4P,864691136236716047,293328,144224,17324
40407,4P,864691135194438442,293392,145648,17575
40408,4P,864691135212644224,278576,147184,18427
40409,4P,864691135467538572,279584,147200,18674
40410,23P,864691135081657335,293840,128464,20149
40411,23P,864691135735205524,293952,131568,20055
40412,23P,864691136925346122,278960,128864,20758
40413,4P,864691136906358894,281232,142128,20682
40414,23P,864691135692727487,283440,128736,20559
40415,4P,864691135454067306,286336,140592,20938
40416,4P,864691135946862026,286800,138912,20438
40417,23P,864691136443756931,288240,135008,20468
40418,4P,864691135497624083,289504,143376,20882
40419,23P,864691136965820366,291216,134480,20688
40420,23P,864691135570692845,292800,131040,20420
40421,4P,864691136020273144,293856,139104,20543
40422,23P,864691135472045362,279216,139024,21242
40423,23P,864691135337759462,279376,139600,21772
40424,23P,864691135491224415,280464,136720,21451
40425,4P,864691135012437494,280736,141648,21382
40426,23P,864691136591406754,283136,130576,21358
40427,4P,864691135081734135,283680,141376,21149
40428,23P,864691135210018496,283920,133376,21506
40429,23P,864691136175017990,284672,138192,21224
40430,23P,864691136922755812,284896,128768,21459
40431,23P,864691136973678620,286240,130800,21559
40432,23P,864691135771714123,286432,135632,21720
40433,4P,864691136023766073,287792,140160,21101
